full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"088 Hwy 158 West, Gatesville, NC, 27938",-76.6917488,36.4507759,370312,Gates County Schools,Gates County Senior High,B,74,1.2,27938,Regular School,Traditional Calendar,500,41,12.19512195,8092.44,942.9,2058.81,11094.15
"1 Bearcat Boulevard, Hendersonville, NC, 28791",-82.4642194,35.3214055,450334,Henderson County Schools,Hendersonville High,B,83,0.13,28791,Regular School,Traditional Calendar,753,48,15.6875,5652.12,1041.44,1867.73,8561.29
"1 Black Bear Drive, Canton, NC, 28716",-82.8414076,35.5217392,440378,Haywood County Schools,Pisgah High,B,74,2.69,28716,Regular School,Traditional Calendar,968,67,14.44776119,5713.24,1184.68,2459.2,9357.12
"1 Cougar Lane, Newport, NC, 28570",-76.9504094,34.7161474,160314,Carteret County Public Schools,Croatan High,A,87,1.12,28570,Regular School,Traditional Calendar,896,58,15.44827586,5589.94,837.39,2875.09,9302.42
"1 Dragon Pride Dr, Concord, NC, 28027",-80.738114,35.428301,130336,Cabarrus County Schools,W R Odell Elementary,B,74,0,28027,Regular School,Traditional Calendar,1015,56,18.125,5218.56,638.81,2168.65,8026.02
"1 High School Dr, Monroe, NC, 28112",-80.5268582,34.9724281,900336,Union County Public Schools,Monroe High,C,56,0.62,28112,Regular School,Traditional Calendar,1122,74,15.16216216,5200.55,578.12,2335.55,8114.22
"1 Learning Place, Gastonia, NC, 28052",-81.2268973,35.2440181,360460,Gaston County Schools,Forest Heights Elementary,D,53,0,28052,Regular School,Traditional Calendar,383,26,14.73076923,5402.62,971.33,1724.46,8098.41
"1 Roadrunner Drive, Gastonia, NC, 28052",-81.2077268,35.2311234,360498,Gaston County Schools,Southwest Middle,D,48,0.77,28052,Regular School,Traditional Calendar,779,52,14.98076923,5402.62,971.33,1724.46,8098.41
"1 Rocket Drive, Asheville, NC, 28803",-82.477241,35.545811,110304,Buncombe County Schools,Reynolds High,B,76,1.41,28803,Regular School,Traditional Calendar,1279,81,15.79012346,5669,917.31,2493.43,9079.74
"100 7th Street SW, Taylorsville, NC, 28681",-81.1822738,35.9202308,20328,Alexander County Schools,Taylorsville Elementary,B,71,2,28681,Regular School,Traditional Calendar,300,20,15,6063.47,923.51,1518.55,8505.53
"100 Alta Vista Street, Morganton, NC, 28655",-81.608688,35.749674,120312,Burke County Schools,Drexel Elementary,C,67,0.63,28655,Regular School,Traditional Calendar,474,31,15.29032258,6119.8,982.92,1409.5,8512.22
"100 Bald Creek School Road, Burnsville, NC, 28714",-82.423218,35.91298,995304,Yancey County Schools,Bald Creek Elementary,B,81,0,28714,Regular School,Traditional Calendar,163,12,13.58333333,7230.17,1297.05,2203,10730.22
"100 Bryan Chalk Lane, Knightdale, NC, 27545",-78.4766682,35.8110892,920466,Wake County Schools,Knightdale High,D,48,1.4,27545,Regular School,Traditional Calendar,1644,104,15.80769231,5349.09,659.07,2528.16,8536.32
"100 Carraway Drive, Beaufort, NC, 28516",-76.6464474,34.7282948,160310,Carteret County Public Schools,Beaufort Middle,C,62,0,28516,Regular School,Traditional Calendar,248,22,11.27272727,5589.94,837.39,2875.09,9302.42
"100 College Dr, 600 Building, Weldon, NC, 27890",-77.6176477,36.4281834,422310,Weldon City Schools,Roanoke Valley Early College,B,73,0,27890,Regular School,Traditional Calendar,173,8,21.625,8838.45,2238.69,3153.54,14230.68
"100 Cougar Drive BSL, Southport, NC, 28461",-78.047994,34.008497,100335,Brunswick County Schools,South Brunswick Middle,C,66,1.92,28461,Regular School,Traditional Calendar,729,48,15.1875,5565.48,1091,2667.56,9324.04
"100 Dundee Road, Pinehurst, NC, 28374",-79.4630391,35.2004831,630342,Moore County Schools,Pinehurst Elementary,B,79,0.19,28374,Regular School,Traditional Calendar plus Year-Round Calendar,530,30,17.66666667,5415.15,939.35,2343.89,8698.39
"100 East Industrial Drive, Burgaw, NC, 28425",-77.9227024,34.5434052,710327,Pender County Schools,Pender Early College High,A,95,0,28425,Regular School,Traditional Calendar,203,12,16.91666667,5654.16,947.06,1916.08,8517.3
"100 Flat Creek Road, Black Mountain, NC, 28711",-82.3148424,35.621961,110318,Buncombe County Schools,Black Mountain Elementary,C,67,0,28711,Regular School,Traditional Calendar,210,15,14,5669,917.31,2493.43,9079.74
"100 Forest Hills School Rd, Marshville, NC, 28103",-80.414609,34.979545,900316,Union County Public Schools,Forest Hills High,C,59,1.01,28103,Regular School,Traditional Calendar,990,64,15.46875,5200.55,578.12,2335.55,8114.22
"100 Forrest Hunt Drive, Forest City, NC, 28043",-81.8511683,35.3018057,810350,Rutherford County Schools,Forrest W. Hunt Elementary School,B,75,0.26,28043,Regular School,Traditional Calendar,380,25,15.2,6406.89,1137.45,1703.63,9247.97
"100 Hargrave St, Lumberton, NC, 28358",-78.9865269,34.6135192,780329,Robeson County Schools,Janie C Hargrave Elem,D,44,0,28358,Regular School,Traditional Calendar,262,14,18.71428571,6490.65,1703.87,748.37,8942.89
"100 John Roach Drive, Marion, NC, 28752",-82.0701156,35.6919317,590344,McDowell County Schools,Pleasant Gardens Elementary,D,49,0,28752,Regular School,Traditional Calendar,392,29,13.51724138,6389.11,1512.02,1644.92,9546.05
"100 Lawson Ridge Road, Knightdale, NC, 27545",-78.481874,35.8101429,920413,Wake County Schools,Forestville Road Elementary,C,58,0.14,27545,Regular School,Traditional Calendar,700,55,12.72727273,5349.09,659.07,2528.16,8536.32
"100 Panther Drive, Franklin, NC, 28734",-83.3821584,35.1767199,560320,Macon County Schools,Franklin High,C,67,1.28,28734,Regular School,Traditional Calendar,937,60,15.61666667,6246.36,1118.33,2139.06,9503.75
"100 School Place, Tryon, NC, 28782",-82.2431005,35.2145343,750304,Polk County Schools,Tryon Elementary School,B,79,0,28782,Regular School,Traditional Calendar,384,35,10.97142857,7299,1198.11,3386.91,11884.02
"100 School Street, Mount Gilead, NC, 27306",-80.0036225,35.2149572,620324,Montgomery County Schools,Mount Gilead Elementary,C,62,0,27306,Regular School,Traditional Calendar,297,19,15.63157895,6723.81,1409.03,1984.2,10117.04
"100 Smoky Mountain Drive, Sylva, NC, 28779",-83.199302,35.3535224,500340,Jackson County Schools,Smoky Mountain High,B,71,3.08,28779,Regular School,Traditional Calendar,845,59,14.3220339,6258.77,1084.6,2178.4,9521.77
"100 Swaim St, Randleman, NC, 27317",-79.8011633,35.8095014,760344,Randolph County Schools,Randleman Elementary,C,60,0,27317,Regular School,Traditional Calendar,682,48,14.20833333,5756.15,1039.15,1371.15,8166.45
"100 Veterans Drive, Kill Devil Hills, NC, 27948",-75.666368,36.0092209,280330,Dare County Schools,First Flight High School,B,81,1.45,27948,Regular School,Traditional Calendar,757,58,13.05172414,5848.88,628.84,4441.8,10919.52
"100 W Hemstead Street, Lexington, NC, 27292",-80.2465221,35.830835,291332,Lexington City Schools,Lexington Middle School,D,44,0,27292,Regular School,Traditional Calendar,652,39,16.71794872,6390.95,1615.39,1844,9850.34
"100 Watauga St, Franklin, NC, 28734",-83.37192,35.189442,560316,Macon County Schools,East Franklin Elementary,C,65,0,28734,Regular School,Traditional Calendar,374,26,14.38461538,6246.36,1118.33,2139.06,9503.75
"1000 Evans Road, Cary, NC, 27513",-78.7939239,35.8019688,920604,Wake County Schools,West Cary Middle,B,71,0.72,27513,Regular School,Traditional Calendar,970,55,17.63636364,5349.09,659.07,2528.16,8536.32
"1000 Fayetteville St, Raleigh, NC, 27601",-78.642886,35.767586,920596,Wake County Schools,Washington Elementary,B,72,0,27601,Magnet School,Traditional Calendar,551,44,12.52272727,5349.09,659.07,2528.16,8536.32
"1000 Lucy Ragsdale Drive, Jamestown, NC, 27282",-79.9133267,35.9943205,410529,Guilford County Schools,Lucy Ragsdale High,B,70,1.2,27282,Regular School,Traditional Calendar,1495,87,17.18390805,5453.57,1087.81,2785.51,9326.89
"1000 N Hwy 64, Manteo, NC, 27954",-75.6782974,35.9209875,280320,Dare County Schools,Manteo Middle School,C,64,0.51,27954,Regular School,Traditional Calendar,391,31,12.61290323,5848.88,628.84,4441.8,10919.52
"1000 Olde Weatherstone Way, Cary, NC, 27513",-78.810141,35.792444,920598,Wake County Schools,Weatherstone Elementary,B,82,0.1,27513,Regular School,Traditional Calendar,1004,64,15.6875,5349.09,659.07,2528.16,8536.32
"1000 Phifer Road, Kings Mountain, NC, 28086",-81.3748011,35.2293374,230352,Cleveland County Schools,Kings Mountain Middle,D,54,0.31,28086,Regular School,Traditional Calendar,653,44,14.84090909,5967.87,1248.84,2035.02,9251.73
"1000 School St, Faith, NC, 28041",-80.460377,35.5890197,800352,Rowan-Salisbury Schools,Faith Elementary,C,69,0.24,28041,Regular School,Traditional Calendar,409,24,17.04166667,5682.81,1066.11,1829.49,8578.41
"1000 Shepard School Rd, Zebulon, NC, 27597",-78.3129613,35.8320917,920636,Wake County Schools,Zebulon Middle,C,56,2.17,27597,Magnet School,Traditional Calendar,554,44,12.59090909,5349.09,659.07,2528.16,8536.32
"1000 Walt Clark Road, Crossnore, NC, 28616",-81.9254533,36.0257346,60316,Avery County Schools,Crossnore Elementary,A,86,0,28616,Regular School,Traditional Calendar,205,16,12.8125,7476.4,1253.12,2810.52,11540.04
"1000 West Church St, Laurinburg, NC, 28352",-79.477823,34.778051,830343,Scotland County Schools,Scotland High School,C,57,0.41,28352,Regular School,Traditional Calendar,1469,98,14.98979592,6787.66,1655.91,1904.09,10347.66
